Todarodes_sagittatus,7.8,-32
Thunnus_thynnus,3.1,13.4
Thunnus_obesus,2.12,-17
Thunnus_maccoyii,2.9,28.6
Thunnus_albacares,2.72,-0.8
Systellaspis_debilis,1.6,-27.4
Scomber_japonicus,2.58,18.6
Pagothenia_borchgrevinki ,2.8,-26.6
Oplophorus_gracilirostris,1.1,-35.3
Nautilus_pompilius,2.25,-41.1
Meganyctiphanes_norvegica,2.43,132.2
Loligo_vulgaris,4.1,-60.7
Katsuwonus_pelamis,3.07,1.5
Gnathphausia_ingens,0.28,-2.3
Euphausia_superba,8.15,-109.3
Dosidicus_gigas,1.42,-103.1
Doryteuthis_pealeii,2.2,-43.7
Dissostichus_mawsoni,1.9,-6.4
Clupea_harengus,2.4,-48.8
Architeuthis_dux,9.5,-77.5
Acipenser_medirostris,1.44,-61.2
Acanthephyra_smithi,1.4,-22.2
Acanthephyra_curtirostris,1.1,-18
Acanthephyra_acutifrons,1.5,-10
